"Category Name","Category Status","Feature Name","Feature Status",Notes,"Feature ID",Importance,"Times per Year","Cost per time","Hours per time","Feature EOI","Stakeholder Group1","Stakeholder Group2","Stakeholder Group3","Stakeholder Group4","Stakeholder Group5","Stakeholder Group6"
"Marketing Communications",Complete,"Statistics are available to allow analysis of success of communication",Yes,"Needs to be comparable in capacity to system like MailChimp.",89,Mandatory,,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Marketing Communications",Complete,"Newsletters (as well as notifications to individuals) can be sent from the system",Yes,"Would be nice to have this embedded in tool OR have capacity to synchronise with them (MailChimp).",90,"Important ",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Member Directory",Complete,"Members receive directory listings as part of their membership benefits",Yes,,22,"Important ",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Member Directory",Complete,"Members need to pay an additional fee for a listing in the directory",No,,91,"Nice to have",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Member Directory",Complete,"Non-members can pay for listing in the directory",No,,92,"Nice to have",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Member Directory",Complete,"Member directory is accessible to the general public",No,,93,"Nice to have",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Member Directory",Complete,"Details to be included in the directory can be configured",No,,94,"Nice to have",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Member Directory",Complete,"Directory can include a Google Map",No,,95,"Nice to have",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Member Directory",Complete,"Members can manage the details displayed in their directory listing",No,,96,"Nice to have",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Member Directory",Complete,"The member directory can be filtered by a range of custom options",No,,97,"Nice to have",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Events Registration",Complete,"Events can be quicklyand easily published onto the website",Yes,,23,"Important ",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Events Registration",Complete,"Events can be browsed via any number of categories and subcategories e.g. by location, by type of event",Yes,,98,"Important ",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Events Registration",Complete,"Members receive different event pricing to non-members",Yes,,99,"Important ",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Events Registration",Complete,"Events can have early bird pricing",Yes,,100,"Nice to have",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Events Registration",Complete,"Events can have table pricing as well as individual pricing",No,,101,"Nice to have",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Events Registration",Complete,"Events can have discounted pricing for different size groups",No,,102,"Nice to have",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Events Registration",Complete,"Registrants can purchase tickets to all events in a suite of events or purchse in groups",No,,103,"Nice to have",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Events Registration",Complete,"Registration form required can vary from event to event",No,,104,"Nice to have",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Event Administration",Complete,"The details to be captured for an event can be configured and presented to the end user in a consistent layout",Yes,,24,"Nice to have",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
